STRASSE,STRANAM,HSZ
2387,Kastanienstr.,7
2387,Kastanienstr.,8
2387,Kastanienstr.,9
2387,Kastanienstr.,10
2387,Kastanienstr.,11
2387,Kastanienstr.,12
1802,Harthauser Str.,18
1802,Harthauser Str.,21
1802,Harthauser Str.,23
1802,Harthauser Str.,25
1802,Harthauser Str.,25a
1802,Harthauser Str.,25c
1720,Hachinger-Bach-Str.,2c
1802,Harthauser Str.,26
1802,Harthauser Str.,27
2022,Hochleite,14
2022,Hochleite,15
2721,Lautererstr.,7
2721,Lautererstr.,8
2721,Lautererstr.,14
2721,Lautererstr.,15
2721,Lautererstr.,16
2721,Lautererstr.,18
3243,Naupliastr.,24
3243,Naupliastr.,25
3243,Naupliastr.,26
3243,Naupliastr.,27
3243,Naupliastr.,28
1667,Grünwalder Str.,238
1667,Grünwalder Str.,241
1667,Grünwalder Str.,243
1861,Heigelstr.,4
1861,Heigelstr.,8
1861,Heigelstr.,11
1861,Heigelstr.,12
1861,Heigelstr.,13
1861,Heigelstr.,16
1861,Heigelstr.,19
1861,Heigelstr.,21
2387,Kastanienstr.,13
2387,Kastanienstr.,17
1667,Grünwalder Str.,17
1667,Grünwalder Str.,20
1667,Grünwalder Str.,24
1667,Grünwalder Str.,25
1667,Grünwalder Str.,27
1667,Grünwalder Str.,28
1667,Grünwalder Str.,30
2022,Hochleite,16
2029,Hochvogelpl.,1
2029,Hochvogelpl.,2
2029,Hochvogelpl.,3
2029,Hochvogelpl.,4
2029,Hochvogelpl.,7
2029,Hochvogelpl.,8
2029,Hochvogelpl.,9
2029,Hochvogelpl.,10
2391,Kastenseestr.,40
2391,Kastenseestr.,41
3540,Petristr.,7
3490,Paul-Hösch-Str.,48
3540,Petristr.,9
3588,Pilgersheimer Str.,2
3588,Pilgersheimer Str.,8
2721,Lautererstr.,21
2721,Lautererstr.,23
2721,Lautererstr.,25
2721,Lautererstr.,29
2730,Lebscheestr.,1
2730,Lebscheestr.,2
1861,Heigelstr.,22
1861,Heigelstr.,23
1861,Heigelstr.,24
2240,Jamnitzerstr.,8
2240,Jamnitzerstr.,15
2240,Jamnitzerstr.,17
2265,Jollystr.,4
2265,Jollystr.,5
1667,Grünwalder Str.,31
1667,Grünwalder Str.,32a
1786,Hans-Mielich-Str.,34
1786,Hans-Mielich-Str.,35
1786,Hans-Mielich-Str.,36
1794,Harlachinger Str.,1a
1794,Harlachinger Str.,3
1794,Harlachinger Str.,5
1794,Harlachinger Str.,7
1794,Harlachinger Str.,9
2391,Kastenseestr.,42
2391,Kastenseestr.,43
2391,Kastenseestr.,45
2462,Klara-Heese-Str.,3
2462,Klara-Heese-Str.,8
2462,Klara-Heese-Str.,10
2833,Lindenstr.,5
2462,Klara-Heese-Str.,12
1667,Grünwalder Str.,109
1667,Grünwalder Str.,111a
3243,Naupliastr.,101a
3243,Naupliastr.,102
3243,Naupliastr.,103
3243,Naupliastr.,103a
3243,Naupliastr.,104
3243,Naupliastr.,104a
3243,Naupliastr.,105
3509,Perathonerstr.,8
3509,Perathonerstr.,11
3509,Perathonerstr.,12
3509,Perathonerstr.,12a
2265,Jollystr.,6
2265,Jollystr.,7
2265,Jollystr.,8
5845,Esswurmstr.,28
1475,Gerhardstr.,10
1475,Gerhardstr.,14
1475,Gerhardstr.,19
1475,Gerhardstr.,21
1475,Gerhardstr.,23
2015,Hochederstr.,11
2015,Hochederstr.,12
2015,Hochederstr.,14
2019,Hochkalterstr.,4
2019,Hochkalterstr.,8
2371,Karneidpl.,12
2019,Hochkalterstr.,12
2019,Hochkalterstr.,13
2019,Hochkalterstr.,14
1667,Grünwalder Str.,112
1667,Grünwalder Str.,114
1667,Grünwalder Str.,115
1667,Grünwalder Str.,117
1667,Grünwalder Str.,141
1667,Grünwalder Str.,145
1802,Harthauser Str.,27a
1802,Harthauser Str.,29
1802,Harthauser Str.,31
1802,Harthauser Str.,32
3243,Naupliastr.,29
